sin(x)
x = -20.4859 ==> sin(x) = -0.997851
x = -20.3268 ==> sin(x) = -0.995624
x = -20.1676 ==> sin(x) = -0.96823
x = -20.0085 ==> sin(x) = -0.916362
x = -19.8493 ==> sin(x) = -0.841332
x = -19.6901 ==> sin(x) = -0.745034
x = -19.531 ==> sin(x) = -0.629905
x = -19.3718 ==> sin(x) = -0.498854
x = -19.2127 ==> sin(x) = -0.355194
x = -19.0535 ==> sin(x) = -0.202555
x = -18.8944 ==> sin(x) = -0.0447963
x = -18.7352 ==> sin(x) = 0.114095
x = -18.5761 ==> sin(x) = 0.270102
x = -18.4169 ==> sin(x) = 0.419281
x = -18.2577 ==> sin(x) = 0.557863
x = -18.0986 ==> sin(x) = 0.682343
x = -17.9394 ==> sin(x) = 0.789576
x = -17.7803 ==> sin(x) = 0.876851
x = -17.6211 ==> sin(x) = 0.941962
x = -17.462 ==> sin(x) = 0.983263
x = -17.3028 ==> sin(x) = 0.999711
x = -17.1437 ==> sin(x) = 0.990888
x = -16.9845 ==> sin(x) = 0.95702
x = -16.8254 ==> sin(x) = 0.89896
x = -16.6662 ==> sin(x) = 0.818178
x = -16.507 ==> sin(x) = 0.716715
x = -16.3479 ==> sin(x) = 0.597136
x = -16.1887 ==> sin(x) = 0.462463
x = -16.0296 ==> sin(x) = 0.3161
x = -15.8704 ==> sin(x) = 0.161747
x = -15.7113 ==> sin(x) = 0.0033061
x = -15.5521 ==> sin(x) = -0.155219
x = -15.393 ==> sin(x) = -0.30982
x = -15.2338 ==> sin(x) = -0.456591
x = -15.0746 ==> sin(x) = -0.59182
x = -14.9155 ==> sin(x) = -0.712089
x = -14.7563 ==> sin(x) = -0.814359
x = -14.5972 ==> sin(x) = -0.896045
x = -14.438 ==> sin(x) = -0.955081
x = -14.2789 ==> sin(x) = -0.989976
x = -14.1197 ==> sin(x) = -0.999848
x = -13.9606 ==> sin(x) = -0.984446
x = -13.8014 ==> sin(x) = -0.944161
x = -13.6423 ==> sin(x) = -0.88001
x = -13.4831 ==> sin(x) = -0.793616
x = -13.3239 ==> sin(x) = -0.687161
x = -13.1648 ==> sin(x) = -0.563337
x = -13.0056 ==> sin(x) = -0.425274
x = -12.8465 ==> sin(x) = -0.276461
x = -12.6873 ==> sin(x) = -0.12066
x = -12.5282 ==> sin(x) = 0.0381907
x = -12.369 ==> sin(x) = 0.196076
x = -12.2099 ==> sin(x) = 0.349007
x = -12.0507 ==> sin(x) = 0.493114
x = -11.8916 ==> sin(x) = 0.624757
x = -11.7324 ==> sin(x) = 0.740608
x = -11.5732 ==> sin(x) = 0.837739
x = -11.4141 ==> sin(x) = 0.913695
x = -11.2549 ==> sin(x) = 0.966555
x = -11.0958 ==> sin(x) = 0.994984
x = -10.9366 ==> sin(x) = 0.998263
x = -10.7775 ==> sin(x) = 0.976308
